Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,AvgMonthlySpend,NumServices,StreamingBundleCount,PhoneBundleCount,HasInternet,Is_Electronic_Check,Churn Value
No,Yes,Yes,47,No,No phone service,DSL,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),60.0,2768.65,58.90744680851064,5,2,0,1,0,0
Yes,Yes,No,32,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.3,2483.05,77.5953125,2,1,1,1,0,1
No,Yes,Yes,35,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,25.75,882.55,25.215714285714284,2,0,2,0,1,0
No,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),95.9,6954.15,96.58541666666666,5,1,2,1,0,0
No,No,No,56,Yes,No,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Electronic check,73.85,4092.85,73.08660714285715,2,0,1,1,1,1
Yes,Yes,No,49,Yes,Yes,Fiber optic,No,Yes,No,No,Month-to-month,No,Credit card (automatic),90.05,4547.25,92.80102040816327,4,1,2,1,0,1
Yes,Yes,No,58,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,One year,Yes,Electronic check,108.85,6287.25,108.40086206896552,7,2,2,1,1,1
No,No,No,3,Yes,No,Fiber optic,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),80.1,217.55,72.51666666666667,3,0,1,1,0,1
No,No,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.35,212.3,17.691666666666666,1,0,1,0,0,0
No,Yes,No,3,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,80.3,250.05,83.35000000000001,2,1,1,1,1,1
No,No,Yes,1,Yes,No,DSL,Yes,No,No,No,Month-to-month,No,Mailed check,49.9,49.9,49.9,2,0,1,1,0,0
No,No,No,46,No,No phone service,DSL,Yes,No,Yes,Yes,Two year,No,Mailed check,38.25,1755.35,38.15978260869565,3,0,0,1,0,0
No,No,No,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),19.7,386.5,20.342105263157894,1,0,1,0,0,0
No,Yes,Yes,9,Yes,No,DSL,No,Yes,No,Yes,Month-to-month,No,Mailed check,54.8,452.8,50.31111111111111,3,0,1,1,0,0
No,Yes,Yes,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),21.1,490.65,20.443749999999998,1,0,1,0,0,0
No,No,No,1,Yes,No,Fiber optic,No,No,No,No,Month-to-month,No,Electronic check,90.6,90.6,90.6,3,2,1,1,1,1
No,No,No,5,Yes,No,Fiber optic,No,No,No,No,Month-to-month,No,Mailed check,78.75,426.35,85.27000000000001,2,1,1,1,0,0
No,No,Yes,13,Yes,No,DSL,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),52.1,670.65,51.58846153846154,2,0,1,1,0,0
No,Yes,No,68,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),88.85,6132.7,90.18676470588235,8,2,2,1,0,0
No,No,No,29,No,No phone service,DSL,Yes,Yes,No,Yes,One year,No,Credit card (automatic),39.5,1082.75,37.33620689655172,3,0,0,1,0,0
No,No,No,1,Yes,No,DSL,No,No,No,No,Month-to-month,Yes,Mailed check,45.05,45.05,45.05,1,0,1,1,0,1
No,No,No,12,No,No phone service,DSL,Yes,No,Yes,Yes,Two year,No,Mailed check,49.85,552.1,46.00833333333333,4,1,0,1,0,0
No,Yes,No,65,Yes,Yes,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Electronic check,90.65,5931.0,91.24615384615385,4,1,2,1,1,0
No,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),115.8,8424.9,117.01249999999999,8,2,2,1,0,0
Yes,No,No,38,Yes,No,DSL,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),70.15,2497.35,65.71973684210526,5,1,1,1,0,1
No,Yes,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),103.75,7346.2,102.03055555555555,6,2,2,1,0,0
No,No,No,52,Yes,No,DSL,Yes,No,Yes,Yes,One year,No,Credit card (automatic),57.95,3042.25,58.50480769230769,4,0,1,1,0,0
No,No,No,11,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,No,Electronic check,75.25,888.65,80.78636363636363,2,0,2,1,1,0
No,No,No,3,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Mailed check,69.6,207.4,69.13333333333334,1,0,1,1,0,0
Yes,Yes,No,47,Yes,No,Fiber optic,No,No,No,No,Month-to-month,No,Bank transfer (automatic),70.55,3309.25,70.40957446808511,1,0,1,1,0,1
No,No,No,42,Yes,Yes,Fiber optic,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,105.2,4400.75,104.7797619047619,6,2,2,1,1,1
Yes,Yes,Yes,29,Yes,Yes,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Electronic check,103.95,2964.8,102.2344827586207,5,2,2,1,1,0
No,No,No,54,No,No phone service,DSL,Yes,No,No,Yes,Two year,No,Credit card (automatic),45.2,2460.55,45.56574074074074,3,1,0,1,0,0
No,Yes,No,33,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,24.5,740.3,22.433333333333334,2,0,2,0,0,1
No,Yes,Yes,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),20.35,335.95,22.396666666666665,1,0,1,0,0,0
Yes,Yes,No,63,Yes,No,DSL,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),84.0,5329.55,84.59603174603176,7,2,1,1,0,0
No,No,No,6,Yes,No,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Electronic check,85.35,489.45,81.575,3,1,1,1,1,1
No,Yes,No,53,Yes,Yes,Fiber optic,No,No,No,Yes,One year,Yes,Electronic check,91.15,4862.5,91.74528301886792,4,1,2,1,1,0
No,Yes,No,43,Yes,No,Fiber optic,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),86.1,3551.65,82.59651162790698,4,0,1,1,0,0
No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.25,20.25,20.25,1,0,1,0,0,1
Yes,Yes,No,61,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),25.0,1501.75,24.618852459016395,2,0,2,0,0,0
No,Yes,Yes,56,Yes,Yes,DSL,Yes,Yes,No,No,One year,No,Bank transfer (automatic),68.75,3815.4,68.13214285714285,5,1,2,1,0,0
Yes,Yes,No,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099.0,110.921875,7,2,2,1,0,0
No,Yes,Yes,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,One year,Yes,Electronic check,93.65,4520.15,92.24795918367346,5,1,2,1,1,0
Yes,Yes,No,12,Yes,No,DSL,Yes,No,Yes,Yes,One year,Yes,Electronic check,79.2,943.85,78.65416666666667,6,2,1,1,1,0
Yes,No,No,46,Yes,Yes,Fiber optic,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,104.45,4863.85,105.7358695652174,6,2,2,1,1,0
No,No,No,13,No,No phone service,DSL,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),30.85,394.1,30.315384615384616,1,0,0,1,0,0
No,Yes,Yes,58,Yes,No,DSL,No,No,No,No,One year,Yes,Mailed check,44.1,2413.05,41.60431034482759,1,0,1,1,0,0
Yes,Yes,No,50,Yes,Yes,Fiber optic,No,No,No,Yes,One year,Yes,Electronic check,100.65,5189.75,103.795,5,2,2,1,1,0
No,No,No,7,Yes,No,DSL,No,No,No,No,Month-to-month,No,Mailed check,54.85,370.4,52.91428571428571,2,1,1,1,0,0
No,No,No,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.75,1118.8,19.628070175438594,1,0,1,0,0,0
No,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.45,34.8,17.4,1,0,1,0,0,0
No,Yes,No,30,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,85.0,2624.25,87.475,3,1,2,1,1,1
No,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),80.2,5714.2,79.36388888888888,7,1,2,1,0,0
No,Yes,Yes,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.45,113.5,18.916666666666668,1,0,1,0,0,0
No,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),79.35,79.35,79.35,2,1,1,1,0,1
No,No,No,26,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),74.95,1834.95,70.575,2,0,2,1,0,1
No,Yes,Yes,2,Yes,No,DSL,No,No,No,No,Month-to-month,No,Mailed check,65.7,134.35,67.175,3,2,1,1,0,1
Yes,No,No,31,Yes,Yes,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),96.6,2877.95,92.83709677419354,5,1,2,1,0,0
No,No,No,2,Yes,No,Fiber optic,No,No,No,No,Month-to-month,No,Electronic check,68.95,119.75,59.875,1,0,1,1,1,1
No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.1,20.1,20.1,1,0,1,0,0,1
No,Yes,No,31,Yes,No,DSL,No,No,No,Yes,Month-to-month,Yes,Mailed check,49.2,1498.55,48.34032258064516,2,0,1,1,0,0
No,No,No,28,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,80.6,2244.95,80.17678571428571,2,1,1,1,1,0
No,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),20.1,318.6,19.9125,1,0,1,0,0,0
No,Yes,Yes,20,Yes,Yes,DSL,Yes,No,No,No,One year,No,Bank transfer (automatic),76.0,1588.75,79.4375,5,2,2,1,0,0
No,No,No,36,Yes,No,DSL,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,75.55,2680.15,74.44861111111112,6,1,1,1,0,0
No,Yes,No,8,Yes,Yes,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Electronic check,90.25,743.75,92.96875,4,1,2,1,1,0
No,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.75,78.3,19.575,1,0,1,0,0,0
No,No,No,3,Yes,Yes,Fiber optic,No,Yes,Yes,No,Month-to-month,No,Mailed check,107.95,313.6,104.53333333333335,6,2,2,1,0,0
No,Yes,No,51,Yes,Yes,Fiber optic,Yes,Yes,No,No,One year,Yes,Credit card (automatic),96.4,4911.05,96.29509803921569,5,1,2,1,0,0
Yes,Yes,No,20,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,94.55,1899.65,94.9825,4,2,2,1,1,1
No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.7,19.7,19.7,1,0,1,0,0,1
Yes,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,85.55,187.45,93.725,3,1,2,1,1,1
No,No,No,9,Yes,No,DSL,No,No,No,No,Month-to-month,Yes,Mailed check,44.4,348.15,38.68333333333333,1,0,1,1,0,0
No,Yes,Yes,68,Yes,Yes,Fiber optic,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),83.65,5733.4,84.31470588235294,4,0,2,1,0,0
No,Yes,No,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,One year,Yes,Credit card (automatic),104.1,7412.25,104.39788732394366,6,2,2,1,0,0
No,Yes,Yes,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.5,290.55,18.159375,1,0,1,0,0,0
No,Yes,No,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),20.95,495.15,19.805999999999997,1,0,1,0,0,0
No,No,No,15,Yes,No,Fiber optic,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,105.1,1582.75,105.51666666666667,6,2,1,1,1,1
No,No,No,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.5,1424.9,20.954411764705885,1,0,1,0,0,0
Yes,No,No,14,Yes,No,Fiber optic,Yes,Yes,No,No,Month-to-month,No,Electronic check,78.85,1043.8,74.55714285714285,3,0,1,1,1,0
No,No,No,66,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.1,6595.0,99.92424242424242,7,1,2,1,0,0
No,Yes,Yes,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.05,520.1,20.804000000000002,1,0,1,0,0,0
No,Yes,Yes,37,Yes,Yes,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Electronic check,88.8,3340.55,90.28513513513514,4,1,2,1,1,0
No,No,Yes,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.8,460.2,18.408,1,0,1,0,0,0
No,Yes,Yes,50,Yes,No,Fiber optic,No,No,Yes,Yes,One year,No,Mailed check,103.05,5153.5,103.07,5,2,1,1,0,0
No,No,No,72,Yes,Yes,DSL,Yes,Yes,No,Yes,Two year,No,Credit card (automatic),86.05,6309.65,87.63402777777777,7,2,2,1,0,0
No,No,No,48,Yes,No,Fiber optic,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),102.5,4904.25,102.171875,6,2,1,1,0,0
No,Yes,Yes,35,Yes,No,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.9,3756.45,107.32714285714285,6,2,1,1,1,0
Yes,Yes,Yes,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.5,1193.55,17.55220588235294,1,0,1,0,0,0
Yes,Yes,No,57,Yes,No,Fiber optic,No,Yes,Yes,No,One year,Yes,Electronic check,90.65,5199.8,91.22456140350877,4,1,1,1,1,0
No,No,No,26,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),88.8,2274.35,87.475,3,2,1,1,0,1
No,Yes,No,50,Yes,Yes,DSL,No,No,Yes,Yes,One year,Yes,Electronic check,69.65,3442.15,68.843,5,1,2,1,1,0
No,Yes,No,59,Yes,Yes,DSL,No,Yes,No,Yes,One year,Yes,Electronic check,80.1,4693.2,79.5457627118644,6,2,2,1,1,0
No,Yes,No,57,No,No phone service,DSL,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),49.9,2782.4,48.8140350877193,4,1,0,1,0,0
No,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),116.95,8594.4,119.36666666666666,8,2,2,1,0,0
No,Yes,No,19,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),88.8,1672.35,88.01842105263158,5,0,2,1,0,0
No,No,No,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.9,868.1,19.729545454545455,1,0,1,0,0,0
Yes,Yes,No,71,No,No phone service,DSL,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),52.3,3765.05,53.02887323943662,4,2,0,1,0,0
No,Yes,No,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),19.85,943.1,18.862000000000002,1,0,1,0,0,0
No,Yes,Yes,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.55,1007.9,19.016981132075472,1,0,1,0,0,0
No,No,No,17,Yes,Yes,DSL,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,69.0,1108.0,65.17647058823529,5,1,2,1,0,0
No,No,No,48,Yes,Yes,DSL,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),83.45,3887.85,80.996875,7,2,2,1,0,0
No,Yes,No,63,Yes,No,Fiber optic,Yes,No,Yes,No,Two year,No,Credit card (automatic),99.7,6330.4,100.48253968253968,5,2,1,1,0,0
No,Yes,No,3,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),84.75,264.85,88.28333333333335,3,1,2,1,0,1
No,Yes,Yes,4,Yes,No,DSL,No,Yes,No,Yes,Month-to-month,No,Mailed check,56.5,235.1,58.775,3,0,1,1,0,1
No,No,No,54,Yes,No,DSL,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,69.9,3883.3,71.91296296296296,5,1,1,1,0,0
No,No,No,47,Yes,Yes,Fiber optic,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,106.4,5127.95,109.10531914893616,6,2,2,1,1,1
Yes,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.05,91.45,22.8625,1,0,1,0,0,0
Yes,Yes,No,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.05,1263.05,18.851492537313433,1,0,1,0,0,0
No,Yes,Yes,28,No,No phone service,DSL,Yes,No,Yes,Yes,One year,No,Mailed check,50.8,1386.8,49.528571428571425,4,1,0,1,0,0
No,Yes,No,40,Yes,Yes,Fiber optic,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),106.0,4178.65,104.46624999999999,6,2,2,1,0,0
No,No,No,5,Yes,No,DSL,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),65.6,339.9,67.97999999999999,4,1,1,1,0,0
No,No,No,22,Yes,No,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Mailed check,84.3,1855.65,84.34772727272728,3,1,1,1,0,1
Yes,No,No,35,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,One year,Yes,Electronic check,108.35,3726.15,106.46142857142857,7,2,2,1,1,0
No,No,No,10,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,No,Electronic check,75.05,786.3,78.63,2,0,2,1,1,0
No,No,No,8,Yes,No,DSL,No,No,No,No,Month-to-month,Yes,Electronic check,66.25,546.45,68.30625,3,2,1,1,1,0
Yes,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,94.3,424.45,106.1125,4,2,2,1,1,1
No,No,No,6,Yes,No,DSL,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),50.8,288.05,48.00833333333333,2,0,1,1,0,1
No,Yes,No,14,Yes,Yes,DSL,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),64.7,941.0,67.21428571428571,4,1,2,1,0,1
No,Yes,No,63,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,108.75,6871.7,109.07460317460317,7,2,2,1,1,0
Yes,No,No,47,Yes,No,Fiber optic,Yes,No,No,No,Month-to-month,No,Mailed check,85.5,4042.3,86.00638297872341,3,1,1,1,0,1
No,Yes,No,2,Yes,No,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Electronic check,94.2,167.5,83.75,4,2,1,1,1,1
No,No,No,3,Yes,No,Fiber optic,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),99.0,287.4,95.8,5,2,1,1,0,1
No,No,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),20.2,140.95,17.61875,1,0,1,0,0,0
No,Yes,Yes,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,25.0,300.7,27.336363636363636,2,0,2,0,0,0
Yes,Yes,No,1,Yes,No,DSL,No,No,No,No,Month-to-month,No,Electronic check,46.0,46.0,46.0,1,0,1,1,1,1
No,Yes,No,8,Yes,No,Fiber optic,No,Yes,Yes,No,Month-to-month,No,Electronic check,101.15,842.9,105.3625,5,2,1,1,1,1
Yes,Yes,No,7,Yes,Yes,DSL,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,64.2,475.0,67.85714285714286,5,0,2,1,1,0
No,Yes,No,35,Yes,Yes,DSL,No,No,No,Yes,One year,Yes,Bank transfer (automatic),73.45,2661.1,76.03142857142856,5,2,2,1,0,0
No,No,No,52,Yes,No,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),83.8,4331.4,83.29615384615384,3,1,1,1,0,0
No,No,No,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.65,155.9,22.271428571428572,1,0,1,0,0,0
No,No,No,1,Yes,No,DSL,No,No,Yes,No,Month-to-month,Yes,Electronic check,50.5,50.5,50.5,2,0,1,1,1,1
No,Yes,Yes,67,Yes,No,DSL,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),54.2,3838.2,57.286567164179104,3,0,1,1,0,0
No,No,No,34,Yes,No,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),73.95,2524.45,74.24852941176471,2,0,1,1,0,1
No,No,No,51,Yes,Yes,Fiber optic,Yes,Yes,No,No,One year,Yes,Electronic check,94.8,4837.6,94.85490196078432,5,1,2,1,1,1
No,No,No,40,Yes,No,Fiber optic,No,Yes,No,Yes,One year,Yes,Credit card (automatic),89.6,3488.15,87.20375,4,1,1,1,0,0
No,No,No,11,Yes,Yes,DSL,No,No,Yes,No,Month-to-month,No,Electronic check,53.75,608.0,55.27272727272727,3,0,2,1,1,1
No,Yes,Yes,25,Yes,Yes,DSL,No,No,No,No,Month-to-month,No,Electronic check,60.35,1404.65,56.18600000000001,3,1,2,1,1,0
No,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,Yes,One year,Yes,Mailed check,104.55,2239.4,106.63809523809525,6,2,1,1,0,0
No,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Two year,Yes,Electronic check,109.65,7880.25,109.44791666666667,7,2,2,1,1,0
No,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),19.85,19.85,19.85,1,0,1,0,0,0
No,Yes,No,21,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,111.2,2317.1,110.33809523809524,7,2,2,1,1,1
Yes,No,No,15,Yes,Yes,Fiber optic,No,Yes,No,No,Month-to-month,No,Credit card (automatic),89.0,1288.3,85.88666666666667,4,1,2,1,0,0
No,No,No,4,Yes,No,DSL,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.8,176.2,44.05,1,0,1,1,0,0
No,Yes,Yes,56,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),19.8,1119.9,19.998214285714287,1,0,1,0,0,0
No,No,No,1,Yes,Yes,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Electronic check,79.15,79.15,79.15,3,0,2,1,1,1
Yes,No,No,11,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),95.15,997.65,90.69545454545454,4,2,2,1,0,1
No,No,No,51,No,No phone service,DSL,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),60.15,3077.0,60.333333333333336,5,2,0,1,0,0
No,Yes,No,2,Yes,No,Fiber optic,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),79.7,165.0,82.5,3,0,1,1,0,1
No,No,No,67,No,No phone service,DSL,Yes,No,No,Yes,Two year,No,Electronic check,43.9,3097.2,46.22686567164179,3,1,0,1,1,0
No,No,No,69,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Two year,No,Mailed check,90.65,6322.1,91.62463768115943,8,2,2,1,0,0
No,No,No,40,Yes,No,Fiber optic,No,Yes,No,No,Month-to-month,No,Credit card (automatic),74.8,2971.7,74.29249999999999,2,0,1,1,0,0
No,Yes,No,3,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Credit card (automatic),74.75,229.5,76.5,2,0,2,1,0,1
Yes,Yes,No,62,Yes,No,DSL,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),79.95,4819.75,77.73790322580645,6,2,1,1,0,0
No,No,No,22,No,No phone service,DSL,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),43.75,903.6,41.07272727272727,3,1,0,1,0,1
